nome,raca,genero
"RAFAEL SIMOES","Branco","Homem"
"DELEGADO MARCELO FREITAS","Pardo","Homem"
"MAURICIO DO VOLEI","Branco","Homem"
"PINHEIRINHO","Pardo","Homem"
"LEONARDO MONTEIRO","Preto","Homem"
"PAULO GUEDES","IND�GENA","Homem"
"ACIO NEVES","Branco","Homem"
"CLEITINHO","Branco","Homem"
"FRED COSTA","Branco","Homem"
"DELEGADA IONE BARBOSA","Pardo","Mulher"
"LINCOLN PORTELA","Branco","Homem"
"Z VITOR","Branco","Homem"
"DOMINGOS SVIO","Branco","Homem"
"PEDRO AIHARA","Amarelo","Homem"
"LUIS TIB","Branco","Homem"
"ROGRIO CORREIA","Branco","Homem"
"MIGUEL NGELO","Pardo","Homem"
"NELY AQUINO","Pardo","Mulher"
"ANTONIO DOIDO","Branco","Homem"
"RENILCE NICODEMOS","Pardo","Mulher"
"KENISTON","Branco","Homem"
"ELCIONE","Branco","Mulher"
"RAIMUNDO SANTOS","Pardo","Homem"
"DRA ALESSANDRA HABER","Branco","Mulher"
"AIRTON FALEIRO","Branco","Homem"
"PRIANTE","Branco","Homem"
"HENDERSON PINTO","Pardo","Homem"
"ANDREIA SIQUEIRA","Pardo","Mulher"
"JNIOR FERRARI","Branco","Homem"
"CELSO SABINO","Branco","Homem"
"JOAQUIM PASSARINHO","Pardo","Homem"
"DELEGADO EDER MAURO","Pardo","Homem"
"DELEGADO CAVEIRA","Pardo","Homem"
"BETO FARO","Preto","Homem"
"DILVANDA FARO","Preto","Mulher"
"OLIVAL MARQUES","Branco","Homem"
"TEREZA CRISTINA","Branco","Mulher"
"DR LUIZ OVANDO","Branco","Homem"
"MARCOS POLLON","Branco","Homem"
"BETO PEREIRA","Branco","Homem"
"DAGOBERTO","Branco","Homem"
"DR GERALDO RESENDE","Branco","Homem"
"RODOLFO NOGUEIRA","Branco","Homem"
"VANDER LOUBET","Branco","Homem"
"CAMILA JARA","Branco","Mulher"
"CORONEL FERNANDA","Branco","Mulher"
"JOS MEDEIROS","Branco","Homem"
"WELLINGTON FAGUNDES","Branco","Homem"
"EMANUELZINHO","Branco","Homem"
"AMLIA BARROS","Branco","Mulher"
"FBIO GARCIA","Branco","Homem"
"JUAREZ COSTA","Pardo","Homem"
"ABLIO","Branco","Homem"
"CORONEL ASSIS","Pardo","Homem"
"CARLOS VERAS","Branco","Homem"
"RENILDO CALHEIROS","Branco","Homem"
"CLODOALDO MAGALHES","Branco","Homem"
"CLARISSA TRCIO","Branco","Mulher"
"FERNANDO MONTEIRO","Branco","Homem"
"ANDR FERREIRA","Pardo","Homem"
"MENDONA FILHO","Pardo","Homem"
"TLIO GADELHA","Branco","Homem"
"LULA DA FONTE","Branco","Homem"
"LUCIANO BIVAR","Branco","Homem"
"IZA ARRUDA","Branco","Mulher"
"ERIBERTO MEDEIROS","Branco","Homem"
"WALDEMAR OLIVEIRA","Branco","Homem"
"PEDRO CAMPOS","Branco","Homem"
"FELIPE  CARRERAS","Branco","Homem"
"SILVIO COSTA FILHO","Branco","Homem"
"GUILHERME UCHOA JUNIOR","Branco","Homem"
"LUCAS RAMOS","Branco","Homem"
"CORONEL MEIRA","Branco","Homem"
"PASTOR EURICO","Branco","Homem"
"TERESA LEITO","Branco","Mulher"
"FERNANDO FILHO","Branco","Homem"
"MARIA ARRAES","Branco","Mulher"
"EDUARDO DA FONTE","Branco","Homem"
"AUGUSTO COUTINHO","Branco","Homem"
"FERNANDO RODOLFO","Pardo","Homem"
"MURILO GALDINO","Branco","Homem"
"WILSON SANTIAGO","Branco","Homem"
"DR DAMIO","Preto","Homem"
"GERVASIO MAIA","Branco","Homem"
"CABO GILBERTO SILVA","Branco","Homem"
"LUIZ COUTO","Branco","Homem"
"HUGO MOTTA","Branco","Homem"
"EFRAIM FILHO","Branco","Homem"
"WELLINGTON ROBERTO","Pardo","Homem"
"MERSINHO LUCENA","Branco","Homem"
"AGUINALDO RIBEIRO","Branco","Homem"
"ROMERO RODRIGUES","Branco","Homem"
"RUY CARNEIRO","Branco","Homem"
"CASTRO NETO","Branco","Homem"
"JADYEL DA JUPI","Pardo","Homem"
"REJANE DIAS","Branco","Mulher"
"FLORENTINO NETO","Branco","Homem"
"WELLINGTON DIAS","IND�GENA","Homem"
"JULIO ARCOVERDE","Pardo","Homem"
"DR FRANCISCO","Preto","Homem"
"ATILA","Branco","Homem"
"MARCOS AURELIO SAMPAIO","Branco","Homem"
"JULIO CSAR","Branco","Homem"
"FLAVIO NOGUEIRA","Branco","Homem"
"GUTEMBERG REIS","Branco","Homem"
"CARLOS JORDY","Branco","Homem"
"ROBERTO MONTEIRO PAI","Pardo","Homem"
"SORAYA SANTOS","Branco","Mulher"
"MARCELO QUEIROZ","Branco","Homem"
"MARCOS TAVARES","Branco","Homem"
"REIMONT","Branco","Homem"
"MARCELO CRIVELLA","Branco","Homem"
"JUNINHO DO PNEU","Branco","Homem"
"LAURA CARNEIRO","Pardo","Mulher"
"DANIEL SORANZ","Branco","Homem"
"LUIZ LIMA","Branco","Homem"
"HELIO FERNANDO BARBOSA LOPES","Preto","Homem"
"TARCSIO MOTTA","Branco","Homem"
"PEDRO PAULO","Branco","Homem"
"CHRIS TONIETTO","Branco","Mulher"
"SSTENES CAVALCANTE","Branco","Homem"
"BEBETO","N�O INFORMADO","Homem"
"WASHINGTON QUAQU","Branco","Homem"
"LINDBERGH FARIAS","Branco","Homem"
"DANI CUNHA","Branco","Mulher"
"HUGO LEAL","Branco","Homem"
"ALTINEU CORTES","Pardo","Homem"
"DOUTOR LUIZINHO","Branco","Homem"
"GLAUBER","Branco","Homem"
"BANDEIRA DE MELLO","Branco","Homem"
"MURILLO GOUVEA","Branco","Homem"
"SARGENTO PORTUGAL","Pardo","Homem"
"OTONI DE PAULA","Preto","Homem"
"GENERAL  PAZUELLO","Branco","Homem"
"TALIRIA PETRONE","Preto","Mulher"
"CHICO ALENCAR","Branco","Homem"
"PASTOR HENRIQUE VIEIRA","Preto","Homem"
"DIMAS GADELHA","Pardo","Homem"
"ROSANGELA GOMES","Preto","Mulher"
"CHIQUINHO BRAZO","Branco","Homem"
"JANDIRA FEGHALI","Branco","Mulher"
"MAX","Pardo","Homem"
"JULIO LOPES","Branco","Homem"
"BENEDITA DA SILVA","Preto","Mulher"
"DANIELA DO WAGUINHO","Branco","Mulher"
"MARCOS RR SOARES","Branco","Homem"
"ROMRIO","Preto","Homem"
"DELEGADO RAMAGEM","Branco","Homem"
"LUCIANO VIEIRA","Branco","Homem"
"JORGE BRAZ","Pardo","Homem"
"AUREO RIBEIRO","Branco","Homem"
"DILCEU SPERAFICO","Branco","Homem"
"DELTAN DALLAGNOL","Branco","Homem"
"DIEGO GARCIA","Pardo","Homem"
"GIACOBO","Branco","Homem"
"GERALDO MENDES","Branco","Homem"
"TONINHO WANDSCHEER","Branco","Homem"
"RICARDO BARROS","Branco","Homem"
"LUSA CANZIANI","Branco","Mulher"
"PADOVANI","Branco","Homem"
"TIO MEDEIROS","Branco","Homem"
"LUCIANO DUCCI","Branco","Homem"
"BETO PRETO","Branco","Homem"
"SARGENTO FAHUR","Branco","Homem"
"LEANDRE","Branco","Mulher"
"ZECA DIRCEU","Branco","Homem"
"SRGIO SOUZA","Branco","Homem"
"DELEGADO MATHEUS LAIOLA","Branco","Homem"
"GLEISI","Branco","Mulher"
"FILIPE BARROS","Branco","Homem"
"CAROL DARTORA","Preto","Mulher"
"ALIEL MACHADO","Branco","Homem"
"FELIPE FRANCISCHINI","Branco","Homem"
"SERGIO MORO","Branco","Homem"
"PEDRO LUPION","Branco","Homem"
"LUIZ NISHIMORI","Amarelo","Homem"
"PAULO LITRO","Branco","Homem"
"SANDRO ALEX","Branco","Homem"
"ENIO VERRI","Branco","Homem"
"VERMELHO","Branco","Homem"
"TADEU VENERI","Branco","Homem"
"BETO RICHA","Branco","Homem"
"THIAGO FLORES","Branco","Homem"
"CRISTIANE LOPES","Pardo","Mulher"
"MAURCIO CARVALHO","Branco","Homem"
